"","sub","lib_size","median_rho","quantile_rho_5","quantile_rho_95","median_rho_ran","quantile_rho_5_ran","quantile_rho_95_ran"
"1","northwestern",10,0.00931218723733825,-0.39900227049097,0.247561875969034,0.110074197729166,-0.253572610655597,0.388877302919816
"2","northwestern",11,0.00541056343531614,-0.398472920729596,0.246665003818088,0.124696627351831,-0.230817338212158,0.391360749257079
"3","northwestern",12,-0.0023520404924351,-0.396026544355601,0.241146132581499,0.130270272553391,-0.231779312989824,0.402146507648345
"4","northwestern",13,-0.00676980591559327,-0.410693020508131,0.239842629322473,0.136132478817663,-0.222563579319693,0.410559944596674
"5","northwestern",14,-0.0172208130250895,-0.4059161624829,0.237093073395705,0.14492762664453,-0.214641423391447,0.41476111208051
"6","northwestern",15,-0.0201736380311786,-0.397262172727752,0.233802733062478,0.148137303744222,-0.198345315368559,0.405633431233207
"7","northwestern",16,-0.0192396757823062,-0.393685735665563,0.230427026411085,0.14798506460855,-0.192292704962431,0.41704116085656
"8","northwestern",17,-0.0247375076752149,-0.396605290644519,0.223717237569101,0.154681659913797,-0.195685870673905,0.422610593075275
"9","northwestern",18,-0.0238873658261688,-0.377884171729149,0.230860684063819,0.158865075542717,-0.177150760192132,0.417820777387781
"10","northwestern",19,-0.0273485553465191,-0.376018396778516,0.219131549907721,0.156358070431745,-0.185906630052533,0.420774516467643
"11","northwestern",20,-0.0273003767218134,-0.356104090532507,0.220114483659263,0.163133789521766,-0.188923363830368,0.418864347471681
"12","northwestern",21,-0.030432345134963,-0.340533126032895,0.221408256305881,0.165085069873775,-0.166258832585476,0.420087194208901
"13","northwestern",22,-0.0298333605626094,-0.333942514112577,0.215429052580727,0.163514039169744,-0.163068565014861,0.420685886618296
"14","northwestern",23,-0.018602106526553,-0.328460569305082,0.225578741605339,0.166911617434237,-0.168740181177601,0.423546378920639
"15","northwestern",24,-0.0185225202146582,-0.31998612831897,0.217889813620481,0.163907919463842,-0.165782846822246,0.429154351164537
"16","northwestern",25,-0.0199009971094062,-0.306085203775029,0.210932594386796,0.172325005724379,-0.160131165020179,0.427427045416042
"17","northwestern",26,-0.0267844831805666,-0.313773073231151,0.21185800208939,0.170125725051061,-0.167829812274644,0.428913608183453
"18","northwestern",27,-0.0228227924666867,-0.295702060477079,0.210135919552399,0.16914971517095,-0.167307920845601,0.424925606756602
"19","northwestern",28,-0.0154313032303358,-0.29344899183218,0.205470703444652,0.175154843831214,-0.158452674908005,0.437758953383832
"20","northwestern",29,-0.0190811246165674,-0.288029190765063,0.214138875855166,0.1715801725152,-0.150697991885261,0.425776574082863
"21","northwestern",30,-0.0142039715436959,-0.288009971612822,0.210184331527332,0.175741887305695,-0.165522311450838,0.437555937176759
"22","northwestern",31,-0.012812141183803,-0.272891088280508,0.210414376792568,0.175410949840273,-0.15574408497791,0.430784118771382
"23","northwestern",32,-0.00540356433549364,-0.268005462286733,0.210810023656302,0.175836947072233,-0.14610317850279,0.428132769684566
"24","northwestern",33,-0.00929393044307695,-0.267653590484362,0.207376116837705,0.175678900990905,-0.15814524064544,0.430095481270834
"25","northwestern",34,-0.00948856461349041,-0.254800902616837,0.203995696268427,0.171693828170513,-0.139718906842338,0.435084825529336
"26","northwestern",35,-0.00748775993588505,-0.253262074916532,0.206932325124283,0.17806225459699,-0.1467599969947,0.427690017646966
"27","northwestern",36,-0.00766131812399087,-0.255876681884111,0.204243082651922,0.177780247363841,-0.145192656065993,0.43302980809964
"28","northwestern",37,-0.00441328632459121,-0.250520479330839,0.203187301567838,0.178297699679565,-0.141889249373103,0.429528257840804
"29","southern",10,0.0457500683960574,-0.306377192253876,0.233816925745981,0.0410470559564111,-0.317265711259811,0.335587120122514
"30","southern",11,0.05061955531199,-0.295049611489189,0.23828228026935,0.0517571487403399,-0.313224146043563,0.351423406610294
"31","southern",12,0.0532555610526798,-0.278355255447797,0.239256362203365,0.0604960988362705,-0.298742862229222,0.359367382613033
"32","southern",13,0.0529320087067745,-0.267546511394397,0.24308326167025,0.0625065778559523,-0.294497876342714,0.362222890047197
"33","southern",14,0.0594962457687983,-0.254447025091691,0.247963861650921,0.0665055751730903,-0.305625570865071,0.362847028016701
