"","sub","lib_size","median_rho","quantile_rho_5","quantile_rho_95","median_rho_ran","quantile_rho_5_ran","quantile_rho_95_ran"
"1","northwestern",10,-0.221311343801574,-0.412722542758879,-0.0225401363621367,-0.134546718724925,-0.399165569440485,0.154267167440476
"2","northwestern",11,-0.18755027960992,-0.367718548530299,0.0127211115704317,-0.133037394294968,-0.397716597949335,0.167134692369449
"3","northwestern",12,-0.160073555721968,-0.359434056146991,0.0509998102354818,-0.123545008772027,-0.389303765075843,0.166244585085261
"4","northwestern",13,-0.135324655173789,-0.348569156639358,0.0709028527638627,-0.123485828323517,-0.387622435048542,0.17439523959679
"5","northwestern",14,-0.118038471957631,-0.33457481290223,0.0814601760374968,-0.121864910604113,-0.396387417801972,0.171738937128285
"6","northwestern",15,-0.0984873129298149,-0.310551869805233,0.0899765324867658,-0.120394504423893,-0.396204093810628,0.178095713609038
"7","northwestern",16,-0.0870310387211377,-0.305044212402561,0.104293873770125,-0.114194435470263,-0.39383698945335,0.186393443838981
"8","northwestern",17,-0.0844940214381353,-0.29806193971492,0.115401217559791,-0.116612135014554,-0.398637856514238,0.184010468760923
"9","northwestern",18,-0.0796220029906606,-0.286645546523874,0.121893159311313,-0.12194831425311,-0.396049754045097,0.184946344964599
"10","northwestern",19,-0.0788759492938768,-0.30123175276785,0.125691858328553,-0.111118540856245,-0.399318295549092,0.199778233447564
"11","northwestern",20,-0.0806569544228143,-0.297693883544018,0.139229352785685,-0.113703172046485,-0.393228128449353,0.183194172500907
"12","northwestern",21,-0.0774937704844784,-0.296614190238984,0.154506993712714,-0.108277660257777,-0.386982814100503,0.198284495083366
"13","northwestern",22,-0.0768428961919694,-0.296600585443088,0.153518301659207,-0.114166313479208,-0.401289121724313,0.192735248400798
"14","northwestern",23,-0.07931965280429,-0.301850234518981,0.160257632238918,-0.108875855805278,-0.385272583738248,0.192770452273037
"15","northwestern",24,-0.0811847379148625,-0.312808452412056,0.168778866213477,-0.108719090641181,-0.391545115429721,0.199745434583219
"16","northwestern",25,-0.077714971624169,-0.312078312425048,0.168729603762917,-0.10598046120949,-0.392581623163925,0.193806286277335
"17","northwestern",26,-0.0764674653997279,-0.30925548875006,0.180893914920176,-0.107595987760224,-0.39495245379471,0.208304182658992
"18","northwestern",27,-0.0767963042127575,-0.311902110795322,0.180753087824891,-0.10661104020641,-0.395850558180931,0.203375000068806
"19","northwestern",28,-0.0740929863539735,-0.315082919523924,0.181667176563286,-0.104835740753456,-0.391683396844459,0.201115859820367
"20","northwestern",29,-0.073579750799289,-0.318350884097777,0.184395878568819,-0.106770072416978,-0.394407546700143,0.208697836360476
"21","northwestern",30,-0.0681644093341751,-0.313474607940978,0.182257470307329,-0.0987578488710992,-0.385288337024377,0.20679095503952
"22","northwestern",31,-0.0711494039951195,-0.325522373003217,0.179172837506277,-0.102295676567392,-0.395917639453843,0.217930949333922
"23","northwestern",32,-0.0729891706483297,-0.322546720232587,0.17819834420727,-0.0960088909788675,-0.393387932366017,0.222702344699518
"24","northwestern",33,-0.0660738447635614,-0.316767039870203,0.184609825344789,-0.102093995068474,-0.392244672810564,0.203158296063111
"25","northwestern",34,-0.0609378382311899,-0.317912792757199,0.180013434794018,-0.0945933806214473,-0.39220331086456,0.219036374444211
"26","northwestern",35,-0.0624154798097002,-0.316288603347171,0.17245115230751,-0.0920791181954785,-0.393356071441496,0.211319744734356
"27","northwestern",36,-0.0699711402003164,-0.322017114434617,0.164545755603051,-0.0996532475930754,-0.385895009826094,0.215640008255047
"28","northwestern",37,-0.0656316650971535,-0.310277822723418,0.161336813215614,-0.0932532943079915,-0.397856670189512,0.217156796661275
"29","southern",10,-0.0808148603806088,-0.350832961692488,0.107560798372802,-0.0174754493611378,-0.350588809040144,0.280938227272998
"30","southern",11,-0.0803468034958703,-0.338255898390767,0.1089233313166,-0.0113361596802886,-0.342315350325941,0.293078733432101
"31","southern",12,-0.0710557535626024,-0.330478481190648,0.115042395961167,-0.00142310575475878,-0.340142818268963,0.303177635183179
"32","southern",13,-0.063607192291011,-0.320902081360325,0.119572957547205,0.00417779089978869,-0.336379857226931,0.305323667294256
"33","southern",14,-0.0567450450451922,-0.320006972136879,0.129720454517359,0.00207555860465142,-0.336841909861679,0.307540149969804
"34","southern",15,-0.0550152074341052,-0.317314759954819,0.132802595504952,0.0137651465997914,-0.336159249087771,0.315459830490082
"35","southern",16,-0.0456645110613171,-0.306982603280181,0.14123268601074,0.0128314649484565,-0.330091943513588,0.31070054902817
"36","southern",17,-0.0349890442808121,-0.300659411833046,0.15262047111926,0.0157762076659062,-0.328441436336532,0.315351937547833
"37","southern",18,-0.0251568595791506,-0.291989757671943,0.16296954626146,0.0242364191121592,-0.317307406539353,0.325032610907132
"38","southern",19,-0.0142225112803749,-0.283582767652307,0.177724659263014,0.0206021717345225,-0.323590470986161,0.321833451271488
"39","southern",20,-0.00551556764318928,-0.267075984440355,0.185032960262626,0.0283913548568963,-0.310495416919687,0.328223369138452
"40","southern",21,0.00454024496317252,-0.262670801934733,0.193504864885608,0.0347682903062645,-0.329339152116636,0.331841275248095
"41","southern",22,0.0165377690101393,-0.252083168532935,0.206419877741133,0.0295186807102438,-0.313641639398681,0.330522699147967
"42","southern",23,0.0259563543070561,-0.241084847124879,0.215500613777841,0.0406431284926619,-0.313969445422684,0.331712967713048
"43","southern",24,0.0340505676337971,-0.229662021115825,0.227988032854249,0.0442737690617372,-0.312931470688588,0.341303802158116
"44","southern",25,0.037947198465251,-0.223517569421969,0.227791010621523,0.0429121609552148,-0.310378897855833,0.340675951284411
"45","southern",26,0.0569706208877746,-0.20564890146276,0.240778840842762,0.0437369857031127,-0.304014811513743,0.344648198523578
"46","southern",27,0.0542425168657754,-0.194907996419873,0.24776675379631,0.0372097049282354,-0.291120772601567,0.339213318494417
"47","southern",28,0.0626070862490258,-0.186697255490229,0.25663730628897,0.0506166232137595,-0.302222704501351,0.340661828004063
"48","southern",29,0.0701177781918925,-0.178610775574134,0.258750038765497,0.0475819431669077,-0.303395597129336,0.347352963923868
"49","southern",30,0.0783298246272726,-0.170283620439018,0.265636908089452,0.0510376285190658,-0.301320783799415,0.350682077565913
"50","southern",31,0.0797901924438799,-0.168338988724728,0.266401245631518,0.0521064717180197,-0.288298159374073,0.344980468943023
"51","southern",32,0.0902080154887495,-0.154854925722646,0.276237893456208,0.0482287945466577,-0.292238700968752,0.354085537747511
"52","southern",33,0.0949706859413244,-0.140329992386341,0.274916708581282,0.0545800167340283,-0.296439066516541,0.352220828330027
"53","southern",34,0.0976153099158481,-0.142035217302127,0.27695614916391,0.0576118354593181,-0.289788517720985,0.351379624660119
"54","southern",35,0.0991182271746852,-0.134450212745634,0.279456300279587,0.0611504752540192,-0.2899306216465,0.360185923210209
"55","southern",36,0.099607892498937,-0.121938619306993,0.281013944211194,0.05417790275469,-0.282581013825409,0.362432778664282
"56","southern",37,0.102199995255393,-0.123898238660372,0.281754276222893,0.0569530068892133,-0.28160787063202,0.359549593762047
"57","viking",10,0.125479452334965,-0.174325280768335,0.272092798422047,-0.0491488152692583,-0.351677724079829,0.229559271619517
"58","viking",11,0.123723582554684,-0.148914582914677,0.267880321672232,-0.0382567568825338,-0.341982723396542,0.236414401362975
"59","viking",12,0.123670592841516,-0.121465698110875,0.267622404546814,-0.0388605794947105,-0.342886404702661,0.239766005065049
"60","viking",13,0.12239945170834,-0.113330850162931,0.264917444285297,-0.0375059358652398,-0.339227545591984,0.248229820924045
"61","viking",14,0.123897573575033,-0.0941177862612899,0.259052670787733,-0.0322569222986785,-0.340025713757803,0.253046287874565
"62","viking",15,0.123334001258225,-0.0846990674287027,0.258052754140205,-0.0265224762467367,-0.330138976677686,0.251021802701832
"63","viking",16,0.120955736320839,-0.0838912980126558,0.255822673749262,-0.0253740156651583,-0.327677350489431,0.256323554503621
"64","viking",17,0.123028148838218,-0.0780166320904254,0.256635344111321,-0.0231798250954124,-0.323790507565136,0.262826995435298
"65","viking",18,0.123255070800285,-0.0633854245543491,0.25647169806398,-0.0270902818321464,-0.324345934122371,0.254286246503412
"66","viking",19,0.12386296100971,-0.0624673223282483,0.250233786274872,-0.0190735977702623,-0.327621296989549,0.265780597234606
"67","viking",20,0.125673874687938,-0.0520337853428769,0.25375295213132,-0.0218265861938244,-0.322502826397586,0.257591940535446
"68","viking",21,0.121698277799925,-0.0443659913445081,0.247630554209024,-0.0194864389723234,-0.323053592900954,0.2681030931629
"69","viking",22,0.121616399602095,-0.0502709636946605,0.248425938646695,-0.0184861729402013,-0.31551875286844,0.26070810867559
"70","viking",23,0.122342340989921,-0.0457308098551364,0.245900764505378,-0.014942008762541,-0.325016147254768,0.26848949778513
"71","viking",24,0.121808715041002,-0.0425780246125424,0.250198691220305,-0.0118178464332458,-0.330010128506182,0.26112165238805
"72","viking",25,0.124453240091098,-0.0426800561637691,0.244944171036017,-0.0126742827640893,-0.327387349395478,0.265947584865921
"73","viking",26,0.12413137685962,-0.0339907823661216,0.246334784200882,-0.012318866863084,-0.32095178825451,0.277554275044553
"74","viking",27,0.122826121077648,-0.0329522882360547,0.245446239437864,-0.0123309549483088,-0.31447005524657,0.270798058314664
"75","viking",28,0.12430982930545,-0.0369380468636427,0.246487376727418,-0.0103192418435304,-0.327434993555114,0.273824792121604
"76","viking",29,0.123659984220937,-0.0354026761973693,0.246506662883402,-0.0109690631741895,-0.319242474555961,0.27129057759007
"77","viking",30,0.126454354263979,-0.0264546455805388,0.244583647901823,-0.00805376056028525,-0.304714689836263,0.268217259400158
"78","viking",31,0.125160586919985,-0.0251864801498326,0.2488476011822,-0.00885808674095059,-0.308195142748468,0.276426287531617
