"","sub","lib_size","median_rho","quantile_rho_5","quantile_rho_95","median_rho_ran","quantile_rho_5_ran","quantile_rho_95_ran"
"1","northwestern",10,-0.271475292880781,-0.423886977057628,-0.0633207037877236,-0.0609003878790149,-0.365771187152702,0.22995811183117
"2","northwestern",11,-0.185912111540071,-0.34272657999004,-0.00282052190091856,-0.0651579172201389,-0.37675026269793,0.231039104687032
"3","northwestern",12,-0.130624553320186,-0.306349585517249,0.0634306529487899,-0.0502944488650729,-0.364599957591731,0.244210174870699
"4","northwestern",13,-0.0995783048306508,-0.290693130967081,0.0925856748636827,-0.0560354696862044,-0.358772308267474,0.237722751619415
"5","northwestern",14,-0.0915345426418838,-0.293464030599693,0.104345446648045,-0.0550122685914441,-0.363303309644756,0.237726732382272
"6","northwestern",15,-0.0876616502347927,-0.292420724877073,0.108186892115865,-0.055901187564729,-0.366881224354199,0.245167199663178
"7","northwestern",16,-0.086524317403434,-0.290097880897159,0.110447659167114,-0.0569729125983216,-0.358366634952255,0.24183624352304
"8","northwestern",17,-0.091046375592996,-0.296139362646457,0.107994111184323,-0.0539202984775715,-0.365169359705227,0.238524957420404
"9","northwestern",18,-0.098796470246092,-0.298722765214459,0.0967483743344539,-0.0517425320801625,-0.355697740258474,0.250147811276768
"10","northwestern",19,-0.0963883272600731,-0.300340948822612,0.0956385942075268,-0.0417473142917059,-0.372354891575654,0.252221163109193
"11","northwestern",20,-0.101158511800114,-0.309115381320765,0.0936967654093379,-0.0481606312363125,-0.349607004699342,0.254018324808509
"12","northwestern",21,-0.098703261787169,-0.312721044120226,0.0912469593258319,-0.0403792694692882,-0.353070562768791,0.253472739166342
"13","northwestern",22,-0.101427114967844,-0.314340682948144,0.0936201932608452,-0.0468223391646895,-0.352484560010489,0.25455939211375
"14","northwestern",23,-0.102358343494309,-0.314145919817557,0.0888183508684419,-0.0412943973913294,-0.352134018632507,0.252219074887362
"15","northwestern",24,-0.106306736658119,-0.32220401943266,0.0813715399580849,-0.0445651293347964,-0.353393543350603,0.26373212578992
"16","northwestern",25,-0.104417169544384,-0.313935870087375,0.0831297533925871,-0.0403557836103314,-0.347957950358569,0.267399961966141
"17","northwestern",26,-0.111001435212055,-0.317062486255689,0.0815871413873181,-0.0392487396302533,-0.339347359192948,0.267200629242631
"18","northwestern",27,-0.105525114231306,-0.323061641108264,0.0799259668736371,-0.0375978147947402,-0.340738130908396,0.269082911356276
"19","northwestern",28,-0.114607528884077,-0.315200145186258,0.0757703347559416,-0.0307507677479255,-0.343399411376219,0.271944413869013
"20","northwestern",29,-0.115238307713565,-0.324947514583434,0.0727304598003278,-0.0323627645530801,-0.337724326338462,0.263788810362117
"21","northwestern",30,-0.115872209967073,-0.313394286950352,0.0647601696965596,-0.0262808933296496,-0.332733869592092,0.273686688676367
"22","northwestern",31,-0.117835282285549,-0.32346618536235,0.0688170145765951,-0.0309463551927848,-0.329032648590525,0.274786770836147
"23","northwestern",32,-0.121587956535824,-0.319164221391009,0.0610359979511891,-0.0286288983713811,-0.335737775150634,0.277070462590332
"24","northwestern",33,-0.127939290137121,-0.319107233443897,0.0572444575917621,-0.0279442009609458,-0.338160856951287,0.277543404310419
"25","northwestern",34,-0.130406574986876,-0.325973756257018,0.0513426339027256,-0.0179993046419659,-0.333491193131304,0.281060197389936
"26","northwestern",35,-0.127491288267535,-0.327303721410667,0.0461046135481763,-0.0218471181810232,-0.327727033170662,0.279061625906894
"27","northwestern",36,-0.134885966764382,-0.322514446537511,0.0451125476245752,-0.0219889698194597,-0.335596374551095,0.281330743932683
"28","northwestern",37,-0.133336885093435,-0.317906141074701,0.0481025181213876,-0.0195981745041038,-0.322815742355507,0.285325870530034
"29","southern",10,0.725798430408343,0.535677108834801,0.784360430390391,0.120986948035833,-0.227273481042786,0.395884739636653
"30","southern",11,0.729908826877947,0.546774054095933,0.788648857113929,0.130723957946827,-0.219553106247249,0.404161194932905
"31","southern",12,0.735168705053842,0.551982491194447,0.794212633381989,0.137848724554318,-0.202144496906698,0.408951740932122
"32","southern",13,0.739392913661797,0.563993579633802,0.796197973525137,0.14837674046594,-0.188331877524415,0.407416255351264
"33","southern",14,0.743223385858453,0.566446461968267,0.799644051263453,0.156516769589905,-0.183322581354199,0.412978736397268
"34","southern",15,0.746216806916347,0.580330238163029,0.80260386930341,0.15273176091832,-0.1771584134732,0.417283087513801
"35","southern",16,0.75142726112163,0.595312877385476,0.806317860207767,0.165574656786941,-0.157801384424421,0.415367631940773
"36","southern",17,0.75451851046519,0.604429681703049,0.809770923409122,0.167927753110523,-0.160878377101507,0.422297198028545
"37","southern",18,0.757628117297347,0.621050058256272,0.812954474013718,0.168258514524942,-0.140890545706359,0.431138267842869
"38","southern",19,0.761042239659633,0.620064382899888,0.817360874680051,0.17171724724234,-0.144506848408199,0.433551498735468
"39","southern",20,0.767310653835773,0.625227947110207,0.821690184271213,0.174505813643999,-0.138489248265198,0.434603097229763
"40","southern",21,0.770149451630329,0.632898562699865,0.825725323512541,0.178429234174472,-0.139240121602177,0.440866221422956
"41","southern",22,0.77228265779109,0.645959540104284,0.830314495339542,0.180259285273177,-0.130099629754225,0.433859643870701
"42","southern",23,0.777319532899018,0.658572638350717,0.831856350933498,0.182235466633276,-0.131176868871753,0.431199055374683
"43","southern",24,0.78084853067066,0.661575415535667,0.835969141125864,0.183827726411948,-0.12685297615571,0.440971606612574
"44","southern",25,0.785172122501673,0.669677952279755,0.838072614767291,0.189549039768415,-0.119052772839514,0.44805388016111
"45","southern",26,0.787128165309425,0.670461247154656,0.842664900377397,0.187778711511797,-0.124419211249364,0.442753454521219
"46","southern",27,0.790439891860209,0.677481253510165,0.844556660632708,0.188683938788752,-0.116022981530854,0.453034640458616
"47","southern",28,0.794391749830902,0.687649436944558,0.849709880766494,0.19079800907354,-0.115795077358417,0.44248110689161
"48","southern",29,0.797822840232632,0.699812573944107,0.850638700318853,0.193335500257174,-0.109354421783694,0.447710264315538
"49","southern",30,0.800859503366574,0.70274419968086,0.853038906722791,0.190997693200083,-0.103409604354388,0.446308852906888
"50","southern",31,0.803451917693493,0.706568294490159,0.8587187957842,0.200270266330703,-0.0994644552361871,0.44915643788733
"51","southern",32,0.806119128233008,0.712420926810103,0.858379432339506,0.194549329256357,-0.104855123945844,0.453097388510304
"52","southern",33,0.808702661243095,0.724801461781344,0.861246245267582,0.198321761267859,-0.102732277237829,0.447559223092672
"53","southern",34,0.810709120128698,0.723097311054036,0.863867060723122,0.194718835301117,-0.0992854660076516,0.451790342288975
"54","southern",35,0.813241703625951,0.73029368299612,0.866866807161528,0.202413385175662,-0.0990081037947124,0.450641858112187
"55","southern",36,0.815236926728461,0.72833701980822,0.868536555085225,0.200170098051263,-0.091451791995426,0.460490900811654
"56","southern",37,0.817419981855767,0.738400024068176,0.87029783562933,0.198708981858685,-0.0966440290863328,0.456662584053862
"57","viking",10,0.219748902678386,-0.0933644409054562,0.398675060344174,-0.068206780917026,-0.385246437105366,0.228218650287879
"58","viking",11,0.226196045903558,-0.0814557038823858,0.398969197536346,-0.0654996740748143,-0.375087296540537,0.228918276804582
"59","viking",12,0.226675365292722,-0.0649512536174495,0.397637766722203,-0.0602901250897846,-0.378046902776612,0.236935914540118
"60","viking",13,0.229156012812712,-0.0425990637821238,0.393015035269565,-0.0593282096107047,-0.368833542154065,0.244429338059193
"61","viking",14,0.225949749594298,-0.0348761160813336,0.393206582237363,-0.04993573081423,-0.368377559390834,0.247340339608455
"62","viking",15,0.229189337533314,-0.0161958744194358,0.38921199057658,-0.0544509513509942,-0.379162794407733,0.248580886033904
"63","viking",16,0.226956318974387,-0.0121614243690373,0.390528448431047,-0.0457858332479271,-0.357101689509441,0.255459167445465
"64","viking",17,0.231994320727734,0.000198860745129259,0.39117777199161,-0.0523946311050925,-0.361150042392318,0.251644592324949
"65","viking",18,0.236188211193637,0.0139301631208082,0.387465221172305,-0.0461853300406062,-0.360417671472022,0.259374918063691
"66","viking",19,0.240607933278777,0.0193987311508353,0.39104395839848,-0.0478488707096627,-0.373679146729651,0.268106856590218
"67","viking",20,0.238338811004228,0.0303462423412091,0.390351005940129,-0.0457960731445742,-0.366344483121817,0.266479061006578
"68","viking",21,0.243872182225173,0.0430453416725665,0.391986059280345,-0.0503421195747921,-0.360767276250706,0.26938747040238
"69","viking",22,0.248371199242042,0.0507341755065343,0.392083715068602,-0.0433767975253826,-0.363404111406806,0.272180279854433
"70","viking",23,0.248350763339211,0.0550797044201686,0.392469226857101,-0.0466715194289132,-0.374035093203388,0.260499811086286
"71","viking",24,0.254330110260982,0.0541940283677652,0.395053110527995,-0.0434138607512395,-0.364690098480757,0.269989549693666
"72","viking",25,0.259115405202307,0.0655805815331855,0.398299676585947,-0.0415031768201559,-0.359587340971592,0.26414274649985
"73","viking",26,0.257329624322387,0.0683558722835593,0.395997818309994,-0.0499078777281443,-0.364840404709864,0.258147525223623
"74","viking",27,0.265332448953575,0.0811761344243372,0.401872726400476,-0.0447977185738474,-0.369336515158114,0.273736023755352
"75","viking",28,0.268118348458735,0.0916728514985824,0.400348403356474,-0.0443691051172938,-0.363255239596299,0.267153957083002
"76","viking",29,0.268350197102015,0.0919592375738613,0.403738002754521,-0.0437265443107312,-0.362734642998377,0.261303012692103
"77","viking",30,0.270242875683812,0.0966880039341233,0.404413651573382,-0.0451712097802426,-0.36506462237741,0.272300257780826
"78","viking",31,0.27594068944715,0.0981058518248949,0.406946706784206,-0.0443208987648847,-0.356820343692353,0.260286603755192
"79","viking",32,0.279587190007196,0.111386287034004,0.409051304292502,-0.0371419310587048,-0.349697204520003,0.275685987696965
"80","viking",33,0.281130262809401,0.109852221486015,0.412748974225378,-0.0386840595944224,-0.36093287858928,0.269593710862597
"81","viking",34,0.285160418205446,0.122491562024626,0.41724063155543,-0.0413166038026087,-0.354344727540507,0.270890055467813
"82","viking",35,0.288026817738238,0.121347539582865,0.416125480447525,-0.0444288555319804,-0.361465653673982,0.27247249551725
"83","viking",36,0.290258683532065,0.129313494893094,0.418096176385566,-0.0454958425183256,-0.37809533410389,0.279070328113912
"84","viking",37,0.291339622699048,0.13484081782671,0.419172313951815,-0.042769624051946,-0.365159564128634,0.278195404015347
