"subarea","time","variable","j0","a1","a2","a3","a4","a5","a6","a7"
1,1,1,0.00135249817238275,-0.302035404376814,0.266659715368675,0.616854300748078,-0.211992270834505,0,0,0.0157919808365544
1,1,2,-0.0245297905690476,1.00395808921818,0.0077455991749111,0,-0.0075273319883148,-0.0153587404172408,0,0
1,1,3,-0.0201895319644349,-0.084582084860056,0.791364208015698,0.0200104589231142,0,0,0.0657487832979733,0
1,1,4,0.00161787779949264,-0.0201624098691066,0,0.840726493459273,0.0196425679604093,0.159649869701955,0,0
1,1,5,-0.0236877230441749,-0.0957669150873856,-0.118892395825967,0,0.875967215764879,0.00931690816204377,0,0
1,1,6,-0.00733474798564407,0,0,0,0,0.912802203911267,0.0714456588199538,0
1,1,7,-2.37711270936469e-05,-0.135812358635325,-0.0548252849326437,0.076266415139565,0.170428819497237,-0.0659895077187493,0.622209583071546,0.316629744400515
1,2,1,-0.00278276664336756,0.350837259951861,0.763720653924322,0,0,0,0.383156752344689,0
1,2,2,-0.0321903722158352,0.976690177820374,-0.0221663060776941,0,0,0,0,0
1,2,3,-0.00873428778266078,0,0.854457498837624,0.0299679368179538,0,0,0.197266912836077,0
1,2,4,-0.0126732039777155,-0.103001331659453,-0.105655079971162,0.768625542284172,0.102072465852168,0,0,0.0618573909038309
1,2,5,-0.00971351631248295,0,0,0,0.890551049843544,0.0632930992936594,0,0
1,2,6,-0.0165426859194306,0,0,0,0,0.860897110127455,0.0745535814956502,0
1,2,7,0.00669003729379272,-0.0558405124889184,0,0.0720033091176007,0.114103662425012,0.0207671947108546,0.67728722856636,0.267486205857729
1,3,1,0.000681532815442292,0.296139549988334,0,1.33711659647351,-0.505624036565742,0.612903635401221,0,0
1,3,2,-0.0323185006071955,0.984603171683868,0.000352907809996597,0,0,-0.0301181120078582,0,0
1,3,3,-0.0114289677838705,0,0.77876404406468,0.0123160705559351,0,0,0.205845543512645,0
1,3,4,-0.00891075319047506,0,-0.0728557484672664,0.770854601656532,0.0329576579357848,0.0738271589335249,0,0.0184244551230217
1,3,5,-0.0081949979642168,-0.068799697766085,-0.0903159311623251,0,0.934029679830574,0.102571837633698,0,0
1,3,6,-0.00617923026625932,0,0,0,0,0.909176438870929,0.07894206916412,0
